Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"System.Web.UI.Page.FrameworkInitialize()",1,0.00,0.00,0.57,0.57,"System.Web.dll",
"MoveNext()",165,0.00,0.00,0.00,0.00,"SmsFeedback_Take4.dll",
"SmsFeedback_Take4.Controllers.AccountController..ctor()",2,0.00,0.00,0.27,0.27,"SmsFeedback_Take4.dll",
"System.Collections.Generic.Dictionary`2.get_Item(!0)",15,0.00,0.00,0.04,0.04,"mscorlib.dll",
"System.Linq.Enumerable.ToArray(class System.Collections.Generic.IEnumerable`1<!!0>)",3,0.00,0.00,0.17,0.17,"System.Core.dll",
"System.IDisposable.Dispose()",1,0.00,0.00,0.50,0.50,"mscorlib.dll",
"System.Linq.Expressions.Expression.Call(class System.Linq.Expressions.Expression,class System.Reflection.MethodInfo,class System.Linq.Expressions.Expression[])",45,0.00,0.00,0.01,0.01,"System.Core.dll",
"SmsFeedback_Take4.MvcApplication..ctor()",2,0.00,0.00,0.24,0.24,"SmsFeedback_Take4.dll",
"SmsFeedback_Take4.Models.AggregateSmsRepository.GetConversationsForNumbers(bool,string[],string[],valuetype System.Nullable`1<valuetype System.DateTime>,valuetype System.Nullable`1<valuetype System.DateTime>,bool,int32,int32,valuetype System.Nullable`1<valuetype System.DateTime>,string,bool,class SmsFeedback_EFModels.smsfeedbackEntities)",1,0.74,0.00,261.10,0.49,"SmsFeedback_Take4.dll",
"System.Web.UI.Control.EndRenderTracing(class System.IO.TextWriter,object)",60,0.00,0.00,0.01,0.01,"System.Web.dll",
"System.Text.RegularExpressions.MatchCollection.get_Count()",66,0.00,0.00,0.01,0.01,"System.dll",
"System.Web.UI.TemplateControl.set_AppRelativeVirtualPath(string)",1,0.00,0.00,0.46,0.46,"System.Web.dll",
"SmsFeedback_Take4.Controllers.ReportsController.GetAvgResponseTimeInfo(string,string,string,string)",1,3.67,0.00,"1,298.25",0.46,"SmsFeedback_Take4.dll",
"System.DateTime.AddYears(int32)",30,0.00,0.00,0.01,0.01,"mscorlib.dll",
"SmsFeedback_Take4.Controllers.ReportsController.PrepareJson(class System.Collections.Generic.List`1<class System.Collections.Generic.Dictionary`2<valuetype System.DateTime,class SmsFeedback_Take4.Models.Helpers.ChartValue>>,string)",2,0.01,0.00,1.03,0.22,"SmsFeedback_Take4.dll",
"System.Math.Round(float64,int32)",4,0.00,0.00,0.11,0.11,"mscorlib.dll",
"System.Linq.Expressions.Expression.Lambda(class System.Linq.Expressions.Expression,class System.Linq.Expressions.ParameterExpression[])",6,0.00,0.00,0.07,0.07,"System.Core.dll",
"SmsFeedback_Take4.Controllers.TagsController.get_SMSRepository()",1,0.00,0.00,1.32,0.43,"SmsFeedback_Take4.dll",
"log4net.ILog.InfoFormat(string,object)",3,0.00,0.00,0.14,0.14,"log4net.dll",
"log4net.ILog.DebugFormat(string,object)",3,0.00,0.00,0.14,0.14,"log4net.dll",
"SmsFeedback_Take4.Utilities.ViewExtensionMethods.ImageLink(class System.Web.Mvc.UrlHelper,string,string,string,string,string,object,string)",2,0.00,0.00,0.38,0.21,"SmsFeedback_Take4.dll",
"log4net.ILog.DebugFormat(string,object,object)",2,0.00,0.00,0.21,0.21,"log4net.dll",
"System.Web.Mvc.GlobalFilters.get_Filters()",1,0.00,0.00,0.42,0.42,"System.Web.Mvc.dll",
"System.DateTime.op_GreaterThanOrEqual(valuetype System.DateTime,valuetype System.DateTime)","3,902",0.00,0.00,0.00,0.00,"mscorlib.dll",
"System.Web.UI.Control.SetRenderMethodDelegate(class System.Web.UI.RenderMethod)",3,0.00,0.00,0.14,0.14,"System.Web.dll",
"SmsFeedback_Take4.Models.Helpers.ReportResource..ctor(string,string,class SmsFeedback_Take4.Models.Helpers.ReportResourceOptions,string)",60,0.00,0.00,0.01,0.01,"SmsFeedback_Take4.dll",
"System.Globalization.DateTimeFormatInfo.get_CurrentInfo()",3,0.00,0.00,0.13,0.13,"mscorlib.dll",
"__ASP.FastObjectFactory_app_web_5xga5w0e.Create_ASP_views_shared_site_master()",2,0.00,0.00,0.36,0.20,"App_Web_5xga5w0e.dll",
"System.Web.HttpServerUtility.set_ScriptTimeout(int32)",1,0.00,0.00,0.39,0.39,"System.Web.dll",
"ASP.views_account_logon_aspx.__BuildControlTree(class ASP.views_account_logon_aspx)",1,0.03,0.00,10.81,0.39,"App_Web_4g5pokgx.dll",
"LinqKit.PredicateBuilder.False()",6,0.00,0.00,0.06,0.06,"LinqKit.dll",
"System.DateTime.op_LessThanOrEqual(valuetype System.DateTime,valuetype System.DateTime)","3,015",0.00,0.00,0.00,0.00,"mscorlib.dll",
"System.Web.UI.Control.SetTraceData(object,object)",26,0.00,0.00,0.01,0.01,"System.Web.dll",
"System.Web.UI.LiteralControl..ctor(string)",4,0.00,0.00,0.09,0.09,"System.Web.dll",
"System.IO.TextWriter.Write(string)",56,0.00,0.00,0.01,0.01,"mscorlib.dll",
"SmsFeedback_Take4.Controllers.ConversationsController.NrOfUnreadConversations(valuetype System.Nullable`1<bool>)",3,0.61,0.00,72.44,0.12,"SmsFeedback_Take4.dll",
"System.Web.UI.HtmlControls.HtmlHead..ctor(string)",1,0.00,0.00,0.35,0.35,"System.Web.dll",
"SmsFeedback_Take4.Controllers.WorkingPointsController.WorkingPointsPerUser()",2,1.78,0.00,314.82,0.17,"SmsFeedback_Take4.dll",
"System.Globalization.CultureInfo.CreateSpecificCulture(string)",30,0.00,0.00,0.01,0.01,"mscorlib.dll",
"System.Web.HttpResponseBase.set_BufferOutput(bool)",2,0.00,0.00,0.16,0.16,"System.Web.dll",
"SmsFeedback_Take4.Controllers.TagsController..ctor()",1,0.19,0.00,66.68,0.32,"SmsFeedback_Take4.dll",
"SmsFeedback_Take4.Controllers.ReportsController.ComputeNoOfIncomingSms(valuetype System.DateTime,valuetype System.DateTime,class System.Collections.Generic.IEnumerable`1<class SmsFeedback_EFModels.WorkingPoint>)",3,7.41,0.00,874.61,0.11,"SmsFeedback_Take4.dll",
"SmsFeedback_Take4.Controllers.ReportsController.GetIncomingOutgoingThirdArea(string,string,string,string)",1,3.70,0.00,"1,307.91",0.31,"SmsFeedback_Take4.dll",
"System.DateTime.ToString(string)",66,0.00,0.00,0.00,0.00,"mscorlib.dll",
"ASP.views_shared_site_master.FrameworkInitialize()",2,0.02,0.00,3.48,0.15,"App_Web_5xga5w0e.dll",
"System.Web.Mvc.UrlHelper.Content(string)",30,0.00,0.00,0.01,0.01,"System.Web.Mvc.dll",
"System.Web.Mvc.UrlHelper.Action(string,string)",2,0.00,0.00,0.15,0.15,"System.Web.Mvc.dll",
