Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"System.Linq.Expressions.Expression.Property(class System.Linq.Expressions.Expression,class System.Reflection.MethodInfo)",137,0.00,0.00,0.00,0.00,"System.Core.dll",
"SmsFeedback_Take4.Models.AggregateSmsRepository..ctor(string)",1,0.00,0.00,0.65,0.65,"SmsFeedback_Take4.dll",
"System.Web.UI.Page.FrameworkInitialize()",1,0.00,0.00,0.65,0.65,"System.Web.dll",
"System.Web.Mvc.Controller.Json(object,valuetype System.Web.Mvc.JsonRequestBehavior)",14,0.00,0.00,0.04,0.04,"System.Web.Mvc.dll",
"System.Linq.Expressions.Expression.Lambda(class System.Linq.Expressions.Expression,class System.Linq.Expressions.ParameterExpression[])",6,0.00,0.00,0.10,0.10,"System.Core.dll",
"System.Text.RegularExpressions.MatchCollection.get_Count()",67,0.00,0.00,0.01,0.01,"System.dll",
"LinqKit.PredicateBuilder.False()",3,0.00,0.00,0.20,0.20,"LinqKit.dll",
"System.Collections.Generic.Dictionary`2.get_Item(!0)",5,0.00,0.00,0.11,0.11,"mscorlib.dll",
"MoveNext()",66,0.00,0.00,0.01,0.01,"SmsFeedback_Take4.dll",
"System.Web.Mvc.Controller.RedirectToAction(string,string)",1,0.00,0.00,0.55,0.55,"System.Web.Mvc.dll",
"System.Linq.Enumerable.ToArray(class System.Collections.Generic.IEnumerable`1<!!0>)",3,0.00,0.00,0.18,0.18,"System.Core.dll",
"System.Linq.Expressions.Expression.Bind(class System.Reflection.MethodInfo,class System.Linq.Expressions.Expression)",64,0.00,0.00,0.01,0.01,"System.Core.dll",
