Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"System.Linq.Enumerable.Take(class System.Collections.Generic.IEnumerable`1<!!0>,int32)",1,0.00,0.00,0.79,0.79,"System.Core.dll",
"SmsFeedback_Take4.Utilities.ViewExtensionMethods.ImageLink(class System.Web.Mvc.HtmlHelper,string,string,object,object,string,bool)",8,0.10,0.00,2.78,0.10,"SmsFeedback_Take4.dll",
"SmsFeedback_Take4.Models.AggregateSmsRepository.UpdateConversationsFromExternalSources(string[],valuetype System.Nullable`1<valuetype System.DateTime>,string,class SmsFeedback_EFModels.smsfeedbackEntities)",2,0.56,0.00,65.24,0.37,"SmsFeedback_Take4.dll",
"ASP.views_reports_index_aspx.FrameworkInitialize()",1,0.00,0.00,0.82,0.75,"App_Web_iyayvxnr.dll",
"ASP.views_shared_site_master.__BuildControl__control3()",2,0.01,0.00,0.97,0.37,"App_Web_t5it0hly.dll",
"SmsFeedback_Take4.MvcApplication..ctor()",5,0.00,0.00,0.15,0.15,"SmsFeedback_Take4.dll",
"System.Web.HttpUtility.HtmlEncode(string)",16,0.00,0.00,0.05,0.05,"System.Web.dll",
"System.Linq.Enumerable.GroupBy(class System.Collections.Generic.IEnumerable`1<!!0>,class System.Func`2<!!0,!!1>)",20,0.00,0.00,0.04,0.04,"System.Core.dll",
"ASP.views_home_index_aspx.FrameworkInitialize()",1,0.01,0.00,1.94,0.70,"App_Web_hwyp4hul.dll",
"System.Linq.Expressions.Expression.Lambda(class System.Linq.Expressions.Expression,class System.Linq.Expressions.ParameterExpression[])",12,0.00,0.00,0.06,0.06,"System.Core.dll",
"log4net.ILog.DebugFormat(string,object,object)",2,0.00,0.00,0.33,0.33,"log4net.dll",
"log4net.ILog.InfoFormat(string,object)",3,0.00,0.00,0.22,0.22,"log4net.dll",
"System.Linq.Expressions.Expression.Call(class System.Linq.Expressions.Expression,class System.Reflection.MethodInfo,class System.Linq.Expressions.Expression[])",22,0.00,0.00,0.03,0.03,"System.Core.dll",
"System.Web.Mvc.Controller.Json(object,valuetype System.Web.Mvc.JsonRequestBehavior)",16,0.00,0.00,0.04,0.04,"System.Web.Mvc.dll",
"System.Text.RegularExpressions.MatchCollection.get_Count()",73,0.00,0.00,0.01,0.01,"System.dll",
"SmsFeedback_Take4.Controllers.WorkingPointsController.get_SMSRepository()",2,0.01,0.00,0.85,0.30,"SmsFeedback_Take4.dll",
"System.DateTime.AddYears(int32)",21,0.00,0.00,0.03,0.03,"mscorlib.dll",
"MoveNext()",132,0.00,0.00,0.00,0.00,"SmsFeedback_Take4.dll",
"System.Web.Mvc.Controller.RedirectToAction(string,string)",2,0.00,0.00,0.30,0.30,"System.Web.Mvc.dll",
"System.Linq.Enumerable.ToArray(class System.Collections.Generic.IEnumerable`1<!!0>)",3,0.00,0.00,0.19,0.19,"System.Core.dll",
"System.Web.UI.Control.EndRenderTracing(class System.IO.TextWriter,object)",120,0.00,0.00,0.00,0.00,"System.Web.dll",
"System.Collections.Generic.Dictionary`2.get_Item(!0)",12,0.00,0.00,0.04,0.04,"mscorlib.dll",
"System.IDisposable.Dispose()",2,0.00,0.00,0.24,0.24,"mscorlib.dll",
"System.Web.UI.TemplateControl.set_AppRelativeVirtualPath(string)",2,0.00,0.00,0.24,0.24,"System.Web.dll",
"System.Web.Mvc.GlobalFilters.get_Filters()",1,0.00,0.00,0.47,0.47,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Models.Helpers.ReportResource..ctor(string,string,class SmsFeedback_Take4.Models.Helpers.ReportResourceOptions,string)",60,0.00,0.00,0.01,0.01,"SmsFeedback_Take4.dll",
"System.Web.HttpServerUtility.set_ScriptTimeout(int32)",2,0.00,0.00,0.24,0.24,"System.Web.dll",
