Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name
"SmsFeedback_Take4.Utilities.ViewExtensionMethods.ImageLink(class System.Web.Mvc.HtmlHelper,string,string,object,object,string,bool)",12,0.03,0,1.48,0.1,SmsFeedback_Take4.dll
"SmsFeedback_Take4.Controllers.ReportsController.PrepareJson(class System.Collections.Generic.List`1<class System.Collections.Generic.Dictionary`2<valuetype System.DateTime,class SmsFeedback_Take4.Models.Helpers.ChartValue>>,string)",6,0.01,0,0.65,0.2,SmsFeedback_Take4.dll
SmsFeedback_Take4.Models.AggregateSmsRepository..ctor(string),2,0,0,0.57,0.57,SmsFeedback_Take4.dll
"SmsFeedback_Take4.Controllers.ReportsController.GetTotalNoOfSmsInfo(string,string,string,string,string)",1,2.32,0,"1,333.48",1.01,SmsFeedback_Take4.dll
"System.Web.Mvc.Html.LinkHelper.MenuLink(class System.Web.Mvc.HtmlHelper,string,string,string,string)",8,0.01,0,0.4,0.12,SmsFeedback_Take4.dll
"SmsFeedback_Take4.Controllers.ReportsController.GetOutgoingSmsInfo(string,string,string,string,string)",1,2.31,0,"1,324.97",0.97,SmsFeedback_Take4.dll
SmsFeedback_Take4.Controllers.ConversationsController.NrOfUnreadConversations(valuetype System.Nullable`1<bool>),3,0.36,0,69.77,0.32,SmsFeedback_Take4.dll
System.Web.Mvc.Controller.View(),3,0,0,0.32,0.32,System.Web.Mvc.dll
System.Web.UI.Page.AddWrappedFileDependencies(object),1,0,0,0.95,0.95,System.Web.dll
"System.Web.Mvc.RouteCollectionExtensions.IgnoreRoute(class System.Web.Routing.RouteCollection,string)",1,0,0,0.93,0.93,System.Web.Mvc.dll
"System.Linq.Expressions.Expression.Bind(class System.Reflection.MethodInfo,class System.Linq.Expressions.Expression)",64,0,0,0.01,0.01,System.Core.dll
System.Data.Entity.Database.set_DefaultConnectionFactory(class System.Data.Entity.Infrastructure.IDbConnectionFactory),1,0,0,0.89,0.89,EntityFramework.dll
"System.Linq.Expressions.Expression.Property(class System.Linq.Expressions.Expression,class System.Reflection.MethodInfo)",175,0,0,0.01,0.01,System.Core.dll
"System.Linq.Enumerable.Take(class System.Collections.Generic.IEnumerable`1<!!0>,int32)",1,0,0,0.85,0.85,System.Core.dll
"SmsFeedback_Take4.Utilities.ViewExtensionMethods.UpdatedResourceLink(class System.Web.Mvc.UrlHelper,string)",6,0.01,0,0.72,0.14,SmsFeedback_Take4.dll
ASP.views_shared_site_master.__BuildControl__control3(),2,0,0,1.06,0.42,App_Web_e03r53wt.dll
SmsFeedback_Take4.Controllers.ReportsController.GetReportsMenuItems(),1,0,0,0.97,0.83,SmsFeedback_Take4.dll
ASP.views_account_logon_aspx.__BuildControl__control2(),1,0.01,0,7.95,0.82,App_Web_q5vesloz.dll
"System.Web.Mvc.Html.LinkExtensions.ActionLink(class System.Web.Mvc.HtmlHelper,string,string,string)",2,0,0,0.4,0.4,System.Web.Mvc.dll
"System.DateTime.op_LessThanOrEqual(valuetype System.DateTime,valuetype System.DateTime)","6,705",0,0,0,0,mscorlib.dll
