Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"System.Web.Mvc.Controller.RedirectToAction(string,string)",1,0.00,0.00,0.55,0.55,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Models.EFSmsRepository.GetConversationsForNumber(bool,string[],string,valuetype System.Nullable`1<valuetype System.DateTime>,valuetype System.Nullable`1<valuetype System.DateTime>,bool,int32,int32,valuetype System.Nullable`1<valuetype System.DateTime>,string,class SmsFeedback_EFModels.smsfeedbackEntities)",2,0.61,0.00,118.65,0.27,"SmsFeedback_Take4.dll",
"System.Web.Mvc.RouteCollectionExtensions.IgnoreRoute(class System.Web.Routing.RouteCollection,string,object)",1,0.00,0.00,0.58,0.54,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Controllers.ReportsController.<>c__DisplayClassf7.<ComputeTotalNoOfClients>b__f3(class SmsFeedback_EFModels.Message)","1,052",0.00,0.00,0.00,0.00,"SmsFeedback_Take4.dll",
"System.Web.UI.Control.EndRenderTracing(class System.IO.TextWriter,object)",120,0.00,0.00,0.00,0.00,"System.Web.dll",
"System.Text.RegularExpressions.MatchCollection.get_Count()",72,0.00,0.00,0.01,0.01,"System.dll",
"System.Web.UI.Control.SetRenderMethodDelegate(class System.Web.UI.RenderMethod)",6,0.00,0.00,0.09,0.09,"System.Web.dll",
"System.Linq.Expressions.Expression.Bind(class System.Reflection.MethodInfo,class System.Linq.Expressions.Expression)",64,0.00,0.00,0.01,0.01,"System.Core.dll",
"SmsFeedback_Take4.Models.AggregateSmsRepository.GetConversationsForNumbers(bool,string[],string[],valuetype System.Nullable`1<valuetype System.DateTime>,valuetype System.Nullable`1<valuetype System.DateTime>,bool,int32,int32,valuetype System.Nullable`1<valuetype System.DateTime>,string,bool,class SmsFeedback_EFModels.smsfeedbackEntities)",1,0.79,0.00,310.22,0.51,"SmsFeedback_Take4.dll",
"__ASP.FastObjectFactory_app_web_baow5oaw.Create_ASP_views_shared_site_master()",2,0.00,0.00,0.44,0.25,"App_Web_baow5oaw.dll",
"System.Math.Round(float64,int32)",6,0.00,0.00,0.08,0.08,"mscorlib.dll",
"System.Collections.Generic.Dictionary`2.get_Item(!0)",21,0.00,0.00,0.02,0.02,"mscorlib.dll",
"System.DateTime.AddYears(int32)",33,0.00,0.00,0.02,0.02,"mscorlib.dll",
"System.DateTime.op_LessThanOrEqual(valuetype System.DateTime,valuetype System.DateTime)","4,223",0.00,0.00,0.00,0.00,"mscorlib.dll",
"System.DateTime.op_GreaterThanOrEqual(valuetype System.DateTime,valuetype System.DateTime)","4,431",0.00,0.00,0.00,0.00,"mscorlib.dll",
"log4net.ILog.InfoFormat(string,object)",3,0.00,0.00,0.16,0.16,"log4net.dll",
"System.Linq.Enumerable.ToArray(class System.Collections.Generic.IEnumerable`1<!!0>)",3,0.00,0.00,0.16,0.16,"System.Core.dll",
"System.Web.UI.TemplateControl.set_AppRelativeVirtualPath(string)",2,0.00,0.00,0.23,0.23,"System.Web.dll",
"log4net.ILog.DebugFormat(string,object,object)",2,0.00,0.00,0.22,0.22,"log4net.dll",
"SmsFeedback_Take4.Models.Helpers.SubscriptionSmsStatus..ctor(int32,bool,bool,bool,string)",2,0.00,0.00,0.22,0.22,"SmsFeedback_Take4.dll",
"SmsFeedback_Take4.MvcApplication..ctor()",2,0.00,0.00,0.21,0.21,"SmsFeedback_Take4.dll",
"System.Linq.Expressions.Expression.Call(class System.Linq.Expressions.Expression,class System.Reflection.MethodInfo,class System.Linq.Expressions.Expression[])",35,0.00,0.00,0.01,0.01,"System.Core.dll",
"System.Web.Mvc.GlobalFilters.get_Filters()",1,0.00,0.00,0.42,0.42,"System.Web.Mvc.dll",
"System.Web.HttpResponseBase.set_BufferOutput(bool)",2,0.00,0.00,0.21,0.21,"System.Web.dll",
"SmsFeedback_Take4.Models.AggregateSmsRepository.UpdateConversationsFromExternalSources(string[],valuetype System.Nullable`1<valuetype System.DateTime>,string,class SmsFeedback_EFModels.smsfeedbackEntities)",2,0.23,0.00,45.42,0.21,"SmsFeedback_Take4.dll",
"SmsFeedback_Take4.Controllers.AccountController..ctor()",3,0.00,0.00,0.14,0.14,"SmsFeedback_Take4.dll",
"SmsFeedback_Take4.Models.Helpers.ReportResource..ctor(string,string,class SmsFeedback_Take4.Models.Helpers.ReportResourceOptions,string)",60,0.00,0.00,0.01,0.01,"SmsFeedback_Take4.dll",
"System.IO.TextWriter.Write(string)",112,0.00,0.00,0.00,0.00,"mscorlib.dll",
"System.IDisposable.Dispose()",2,0.00,0.00,0.19,0.19,"mscorlib.dll",
"System.Globalization.DateTimeFormatInfo.get_CurrentInfo()",4,0.00,0.00,0.10,0.10,"mscorlib.dll",
"SmsFeedback_Take4.Utilities.ViewExtensionMethods.ImageLink(class System.Web.Mvc.UrlHelper,string,string,string,string,string,object,string)",2,0.00,0.00,0.37,0.19,"SmsFeedback_Take4.dll",
"System.Web.HttpServerUtility.set_ScriptTimeout(int32)",2,0.00,0.00,0.18,0.18,"System.Web.dll",
"System.Web.UI.LiteralControl..ctor(string)",4,0.00,0.00,0.09,0.09,"System.Web.dll",
"System.Web.UI.HtmlControls.HtmlHead..ctor(string)",2,0.00,0.00,0.18,0.18,"System.Web.dll",
"System.Web.UI.Control.SetTraceData(object,object)",26,0.00,0.00,0.01,0.01,"System.Web.dll",
"System.Globalization.CultureInfo.CreateSpecificCulture(string)",33,0.00,0.00,0.01,0.01,"mscorlib.dll",
"ASP.views_account_logon_aspx.__BuildControlTree(class ASP.views_account_logon_aspx)",2,0.03,0.00,5.18,0.16,"App_Web_tyyyf5ti.dll",
"System.Web.Mvc.UrlHelper.Action(string,string)",2,0.00,0.00,0.16,0.16,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Controllers.ReportsController.ComputeTotalNoOfSms(valuetype System.DateTime,valuetype System.DateTime,class System.Collections.Generic.IEnumerable`1<class SmsFeedback_EFModels.WorkingPoint>)",6,13.64,0.00,888.99,0.05,"SmsFeedback_Take4.dll",
"System.DateTime.ToString(string)",72,0.00,0.00,0.00,0.00,"mscorlib.dll",
"SmsFeedback_Take4.Controllers.WorkingPointsController.get_SMSRepository()",2,0.00,0.00,0.47,0.16,"SmsFeedback_Take4.dll",
"System.Web.Routing.RouteValueDictionary..ctor(class System.Collections.Generic.IDictionary`2<string,object>)",16,0.00,0.00,0.02,0.02,"System.Web.dll",
"System.Web.Mvc.UrlHelper.Action(string,string,class System.Web.Routing.RouteValueDictionary)",2,0.00,0.00,0.15,0.15,"System.Web.Mvc.dll",
"System.Object.ToString()",120,0.00,0.00,0.00,0.00,"mscorlib.dll",
"System.Web.Mvc.Controller.get_RouteData()",72,0.00,0.00,0.00,0.00,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Controllers.ReportsController.ComputeTotalNoOfClients(valuetype System.DateTime,valuetype System.DateTime,class System.Collections.Generic.IEnumerable`1<class SmsFeedback_EFModels.WorkingPoint>)",4,12.34,0.00,"1,206.33",0.07,"SmsFeedback_Take4.dll",
"SmsFeedback_Take4.Controllers.WorkingPointsController.WorkingPointsPerUser()",2,1.59,0.00,311.69,0.15,"SmsFeedback_Take4.dll",
"System.Web.Mvc.ModelStateDictionary.AddModelError(string,string)",1,0.00,0.00,0.29,0.29,"System.Web.Mvc.dll",
"SmsFeedback_Take4.Controllers.ReportsController.<>c__DisplayClass3e.<GetIncomingOutgoingSmsChartSource>b__17(class SmsFeedback_EFModels.Message)",272,0.00,0.00,0.00,0.00,"SmsFeedback_Take4.dll",
"System.Web.UI.Page.set_Title(string)",1,0.00,0.00,0.29,0.29,"System.Web.dll",
"ASP.views_shared_site_master.FrameworkInitialize()",2,0.02,0.00,3.20,0.14,"App_Web_baow5oaw.dll",
"SmsFeedback_Take4.Controllers.ReportsController.<>c__DisplayClassfd.<ComputeNoOfIncomingSms>b__f9(class SmsFeedback_EFModels.Message)",272,0.00,0.00,0.00,0.00,"SmsFeedback_Take4.dll",
"System.Web.Mvc.UrlHelper.Content(string)",30,0.00,0.00,0.01,0.01,"System.Web.Mvc.dll",
"System.Linq.Enumerable.Range(int32,int32)",4,0.00,0.00,0.07,0.07,"System.Core.dll",
